0, D8
1, 20
2, A0
3, 84
4, 60
6, A9
7, 85
8, AD
12, F0
17, D0
18, 2C
19, 08
20, 8D
21, 4C
23, 88
24, 30
34, 48
38, 29
40, 98
41, 18
42, 69
45, A5
47, A4
48, CC
52, ED
53, B0
55, 8C
56, AC
63, 4A
65, 09
67, 68
69, 90
71, 0A
73, 05
78, 10
80, 65
84, A8
87, B9
128, 28
136, A2
141, 94
142, 95
216, B4
218, C0
231, B5
334, BD
335, DD
356, C9
366, EA
373, 6C
405, 38
407, E9
45341, 49
45342, CD
45409, 91
45410, C8
45411, C4
45573, C5
50104, 99
50142, 9D
50143, CA
50162, 86
50165, C6
50170, B1
50171, D9
50239, 9A
50404, 8A
50445, E6
50532, D1
52573, 25
52605, 4E
53708, 45
734811, AA
735117, E0
735129, 46
